participantNo,inputType,trialNo,triad,msg,spagCorrect,correctMsg,gMsg
6,Speech,15,"bicycle.png,youngman.png,santa.png",The boy imagined the Santa riding on a bicycle.,The boy imagined the Santa riding on a bicycle.,The boy imagined the Santa riding on a bicycle.,The boy imagined Santa riding on a bicycle.
6,Speech,16,"grandma.png,heart.png,teddybear.png",Grandma loved her old fluffy teddy bear.,Grandma loved her old fluffy teddy bear.,Grandma loved her old fluffy teddy bear.,Grandma loved her old fluffy teddy bear.
6,Speech,17,"flower.png,bench.png,man.png",The man ventured outside and sat on the bench to observe flowers blooming during spring.,The man ventured outside and sat on the bench to observe flowers blooming during spring.,The man ventured outside and sat on the bench to observe flowers blooming during spring.,The man ventured outside and sat on the bench to observe flowers blooming during spring.
6,Speech,18,"crying.png,youngman.png,santa.png",The boy told his little brother that Santa is not real which made his brother cry.,The boy told his little brother that Santa is not real which made his brother cry.,The boy told his little brother that Santa is not real which made his brother cry.,The boy told his little brother that Santa is not real which made his brother cry.
6,Speech,19,"doctor.png,plane.png,boy.png",The doctor cautioned the family about taking their child on the plane because he was sick.,The doctor cautioned the family about taking their child on the plane because he was sick.,The doctor cautioned the family about taking their child on the plane because he was sick.,The doctor cautioned the family about taking their child on the plane because he was sick.
6,Speech,20,"crying.png,pup.png,confused.png",The girl was puzzled that their family dog made her brother cry.,The girl was puzzled that their family dog made her brother cry.,The girl was puzzled that their family dog made her brother cry.,The girl was puzzled that their family dog made her brother cry.
6,Keyboard,1,"turtle.png,cooking-pan.png,youngman.png",The man wanted to feed his little turtle. ,The man wanted to feed his little turtle. ,The man wanted to feed his little turtle. ,The man wanted to feed his little turtle. 
6,Keyboard,2,"boy.png,Friends.png,present.png",The three friends brought a huge gift for the boy which made him feel very loved. ,The three friends brought a huge gift for the boy which made him feel very loved. ,The three friends brought a huge gift for the boy which made him feel very loved. ,The three friends brought a huge gift for the boy which made him feel very loved. 
6,Keyboard,3,"brocoli.png,hotdog.png,woman.png",She was confused between eating a hotdog and boiled broccoli. ,She was confused between eating a hotdog and boiled broccoli. ,She was confused between eating a hotdog and boiled broccoli. ,She was confused between eating a hotdog and boiled broccoli. 
6,Keyboard,4,"sun.png,house.png,baby.png",The baby crawled out of the house and was greeted by morning sunshine.,The baby crawled out of the house and was greeted by morning sunshine.,The baby crawled out of the house and was greeted by morning sunshine.,The baby crawled out of the house and was greeted by morning sunshine.
6,Keyboard,5,"swings.png,money.png,momandbaby.png",The woman decided to spend a substantial amount of cash to buy a swing set for her baby.,The woman decided to spend a substantial amount of cash to buy a swing set for her baby.,The woman decided to spend a substantial amount of cash to buy a swing set for her baby.,The woman decided to spend a substantial amount of cash to buy a swing set for her baby.
6,Keyboard,6,"doctor.png,plane.png,boy.png",The parents sought the doctor's advice about whether they could take their child aboard the plane.,The parents sought the doctor's advice about whether they could take their child aboard the plane.,The parents sought the doctor's advice about whether they could take their child aboard the plane.,The parents sought the doctor's advice about whether they could take their child aboard the plane.
6,Keyboard,7,"bicycle.png,youngman.png,santa.png",He dreamt that Santa gifted him a bicycle.,He dreamt that Santa gifted him a bicycle.,He dreamt that Santa gifted him a bicycle.,He dreamt that Santa gifted him a bicycle.
6,Keyboard,8,"cooking.png,house.png,soccer.png","She loved cooking but more than that, she was fond of going outdoors to play football.","She loved cooking but more than that, she was fond of going outdoors to play football.","She loved cooking but more than that, she was fond of going outdoors to play football.","She loved cooking but more than that, she was fond of going outdoors to play football."
6,Keyboard,9,"soccer.png,youngman.png,heart.png",There was nothing he loved more than playing football. ,There was nothing he loved more than playing football. ,There was nothing he loved more than playing football. ,There was nothing he loved more than playing football. 
6,Keyboard,10,"baby.png,iPhone4.png,man.png","Much to his annoyance, the baby started playing around with his phone.","Much to his annoyance, the baby started playing around with his phone.","Much to his annoyance, the baby started playing around with his phone.","Much to his annoyance, the baby started playing around with his phone."
6,Keyboard,11,"house.png,Friends.png,mug.png",The three children came back home from school and enjoyed a bit of hot coffee.,The three children came back home from school and enjoyed a bit of hot coffee.,The three children came back home from school and enjoyed a bit of hot coffee.,The three children came back home from school and enjoyed a bit of hot coffee.
6,Keyboard,12,"apple.png,doctor.png,house.png","The doctor, on his monthly visit, advised the family to grow green apples in their garden.","The doctor, on his monthly visit, advised the family to grow green apples in their garden.","The doctor, on his monthly visit, advised the family to grow green apples in their garden.","The doctor, on his monthly visit, advised the family to grow green apples in their garden."
6,Keyboard,13,"grandma.png,heart.png,teddybear.png",The grandma was reminded of her beloved soft toy from her childhood. ,The grandma was reminded of her beloved soft toy from her childhood. ,The grandma was reminded of her beloved soft toy from her childhood. ,The grandma was reminded of her beloved soft toy from her childhood. 
6,Keyboard,14,"boy.png,boat.png,cat.png",The boy set sail on the ship with his cat. ,The boy set sail on the ship with his cat. ,The boy set sail on the ship with his cat. ,The boy set sail on the ship with his cat. 
6,Keyboard,15,"crying.png,youngman.png,santa.png","The boy promised his little sibling, who was in an agitated mood, that Santa would come bearing gifts very soon.","The boy promised his little sibling, who was in an agitated mood, that Santa would come bearing gifts very soon.","The boy promised his little sibling, who was in an agitated mood, that Santa would come bearing gifts very soon.","The boy promised his little sibling, who was in an agitated mood, that Santa would come bearing gifts very soon."
6,Keyboard,16,"woman.png,momandbaby.png,plane.png",The woman waved goodbye to her friend Sally and her baby at the airport.,The woman waved goodbye to her friend Sally and her baby at the airport.,The woman waved goodbye to her friend Sally and her baby at the airport.,The woman waved goodbye to her friend Sally and her baby at the airport.
6,Keyboard,17,"swings.png,crying.png,raincloud.png",The child wanted to play outdoors but it just wouldn't stop raining.,The child wanted to play outdoors but it just wouldn't stop raining.,The child wanted to play outdoors but it just wouldn't stop raining.,The child wanted to play outdoors but it just wouldn't stop raining.
6,Keyboard,18,"crying.png,pup.png,confused.png",The woman wondered if her family dog could cheer up her baby.,The woman wondered if her family dog could cheer up her baby.,The woman wondered if her family dog could cheer up her baby.,The woman wondered if her family dog could cheer up her baby.
6,Keyboard,19,"flower.png,bench.png,man.png",The man sat on the bench and observed the sunflowers.,The man sat on the bench and observed the sunflowers.,The man sat on the bench and observed the sunflowers.,The man sat on the bench and observed the sunflowers.
6,Keyboard,20,"teddybear.png,money.png,Friends.png",The friends decided to splurge money on a soft toy while on their trip to the mall.,The friends decided to splurge money on a soft toy while on their trip to the mall.,The friends decided to splurge money on a soft toy while on their trip to the mall.,The friends decided to splurge money on a soft toy while on their trip to the mall.
7,Keyboard,1,"turtle.png,cooking-pan.png,youngman.png",The boy cooked food in the pan to feed his turtle,The boy cooked food in the pan to feed his turtle,The boy cooked food in the pan to feed his turtle,The boy cooked food in the pan to feed his turtle
7,Keyboard,2,"grandma.png,heart.png,teddybear.png",The grandma likes heart shaped things and teddy bears,The grandma likes heart shaped things and teddy bears,The grandma likes heart shaped things and teddy bears,The grandma likes heart shaped things and teddy bears
7,Keyboard,3,"flower.png,bench.png,man.png",The old man sat on the bench looking at flowers,The old man sat on the bench looking at flowers,The old man sat on the bench looking at flowers,The old man sat on the bench looking at flowers
7,Keyboard,4,"woman.png,momandbaby.png,plane.png",The teacher was talking to the mom whose flight just landed,The teacher was talking to the mom whose flight just landed,The teacher was talking to the mom whose flight just landed,The teacher was talking to the mom whose flight just landed
7,Keyboard,5,"soccer.png,youngman.png,heart.png",The boy likes soccer and heart ,The boy likes soccer and heart ,The boy likes soccer and hearts,The boy likes soccer and hearts
7,Keyboard,6,"sun.png,house.png,baby.png",The baby loves being in the house when the sun is shining,The baby loves being in the house when the sun is shining,The baby loves being in the house when the sun is shining,The baby loves being in the house when the sun is shining
7,Keyboard,7,"crying.png,youngman.png,santa.png",The little boy is crying because his brother didn't take him to see santa,The little boy is crying because his brother didn't take him to see Santa,The little boy is crying because his brother didn't take him to see Santa,The little boy is crying because his brother didn't take him to see Santa
7,Keyboard,8,"bicycle.png,youngman.png,santa.png",The boy went to see Santa on his bike,The boy went to see Santa on his bike,The boy went to see Santa on his bike,The boy went to see Santa on his bike
7,Keyboard,9,"swings.png,crying.png,raincloud.png",The boy is crying because he couldn't swing when it is raining,The boy is crying because he couldn't swing when it is raining,The boy is crying because he couldn't swing when it is raining,The boy is crying because he couldn't swing when it is raining
7,Keyboard,10,"apple.png,doctor.png,house.png",The doctor goes home and eats an apple,The doctor goes home and eats an apple,The doctor goes home and eats an apple,The doctor goes home and eats an apple
7,Keyboard,11,"baby.png,iPhone4.png,man.png",The old man plays games on his phone while the baby is sleeping,The old man plays games on his phone while the baby is sleeping,The old man plays games on his phone while the baby is sleeping,The old man plays games on his phone while the baby is sleeping
7,Keyboard,12,"boy.png,Friends.png,present.png",The boy buys presents for his friends,The boy buys presents for his friends,The boy buys presents for his friends,The boy buys presents for his friends
7,Keyboard,13,"cooking.png,house.png,soccer.png",The girl Cooks in the house and then goes out to play with the ball,The girl Cooks in the house and then goes out to play with the ball,The girl cooks in the house and then goes out to play with the ball,The girl cooks in the house and then goes out to play with the ball
7,Keyboard,14,"brocoli.png,hotdog.png,woman.png",The lady Cooks hotdog and broccoli,The lady Cooks hotdog and broccoli,The lady cooks hotdogs and broccoli,The lady cooks hotdogs and broccoli
7,Keyboard,15,"house.png,Friends.png,mug.png",The friends come home for a cup of tea,The friends come home for a cup of tea,The friends come home for a cup of tea,The friends come home for a cup of tea
7,Keyboard,16,"swings.png,money.png,momandbaby.png",The lady earns money by baby sitting the baby and taking it to swings,The lady earns money by baby sitting the baby and taking it to swings,The lady earns money by baby sitting the baby and taking it to swings,The lady earns money by babysitting the baby and taking it to the swings
7,Keyboard,17,"doctor.png,plane.png,boy.png",The child plays with an airplane as he waits for his turn at doctors office,The child plays with an airplane as he waits for his turn at doctor’s office,The child plays with an airplane as he waits for his turn at the doctor’s office,The child plays with an airplane as he waits for his turn at doctor’s office
7,Keyboard,18,"teddybear.png,money.png,Friends.png",People love teddy bears and money,People love teddy bears and money,People love teddy bears and money,People love teddy bears and money
7,Keyboard,19,"crying.png,pup.png,confused.png",The girl is confused why the boy cried at the sight of the dog,The girl is confused why the boy cried at the sight of the dog,The girl is confused why the boy cried at the sight of the dog,The girl is confused why the boy cried at the sight of the dog
7,Keyboard,20,"boy.png,boat.png,cat.png",The boy took his cat on a yatch,The boy took his cat on a yacht,The boy took his cat on a yacht,The boy took his cat on a yacht
7,Speech,1,"crying.png,pup.png,confused.png",The girl was confused when she saw a dog and a crying boy,The girl was confused when she saw a dog and a crying boy,The girl was confused when she saw a dog and a crying boy,The girl was confused when she saw a dog and a crying boy
7,Speech,2,"bicycle.png,youngman.png,santa.png",Santa gave the boy a bike in gift,Santa gave the boy a bike in gift,Santa gave the boy a bike as a gift,Santa gave the boy a bike as a gift
7,Speech,3,"woman.png,momandbaby.png,plane.png",The lady met her friend with her kid when she got down from her flight,The lady met her friend with her kid when she got down from her flight,The lady met her friend with her kid when she got down from her flight,The lady met her friend with her kid when she got down from her flight
7,Speech,4,"brocoli.png,hotdog.png,woman.png",The lady is trying to sell broccoli with hot dog,The lady is trying to sell broccoli with hot dog,The lady is trying to sell broccoli with hot dogs,The lady is trying to sell broccoli with hot dogs
7,Speech,5,"grandma.png,heart.png,teddybear.png",She gave her grandma gift teddy bear and heart,She gave her grandma gift teddy bear and heart,She gave her grandma a gift of a teddy bear and a heart,She gave her grandma a gift of a teddy bear and heart
7,Speech,6,"teddybear.png,money.png,Friends.png",People found money inside teddy bear,People found money inside teddy bear,People found money inside a teddy bear,People found money inside a teddy bear
7,Speech,7,"boy.png,Friends.png,present.png",His friends got him a present,His friends got him a present,His friends got him a present,His friends got him a present
7,Speech,8,"house.png,Friends.png,mug.png",He only had an empty cup when his friends came over to his house,He only had an empty cup when his friends came over to his house,He only had an empty cup when his friends came over to his house,He only had an empty cup when his friends came over to his house
7,Speech,9,"baby.png,iPhone4.png,man.png",The baby is playing with the old man's phone,The baby is playing with the old man's phone,The baby is playing with the old man's phone,The baby is playing with the old man's phone
7,Speech,10,"crying.png,youngman.png,santa.png",The man saw a kid crying near Santa,The man saw a kid crying near Santa,The man saw a kid crying near Santa,The man saw a kid crying near Santa
7,Speech,11,"soccer.png,youngman.png,heart.png",The boy loves playing with ball,The boy loves playing with ball,The boy loves playing with ball,The boy loves playing with the ball
7,Speech,12,"sun.png,house.png,baby.png",The baby likes when sun shines through the window of the house,The baby likes when sun shines through the window of the house,The baby likes when the sun shines through the window of the house,The baby likes when sun shines through the window of the house
7,Speech,13,"flower.png,bench.png,man.png",The man was sitting on the bench and looking at flowers,The man was sitting on the bench and looking at flowers,The man was sitting on the bench and looking at flowers,The man was sitting on the bench and looking at flowers
7,Speech,14,"turtle.png,cooking-pan.png,youngman.png",The turtle made food in the pan for the boy,The turtle made food in the pan for the boy,The turtle made food in the pan for the boy,The turtle made food in the pan for the boy
7,Speech,15,"doctor.png,plane.png,boy.png",The doctor advised the boy not to go on a flight,The doctor advised the boy not to go on a flight,The doctor advised the boy not to go on a flight,The doctor advised the boy not to go on a flight
7,Speech,16,"swings.png,money.png,momandbaby.png",The lady took her kids to swings and found some money there,The lady took her kids to swings and found some money there,The lady took her kids to swings and found some money there,The lady took her kids to the swings and found some money there
7,Speech,17,"apple.png,doctor.png,house.png",The doctor took a green apple to his home,The doctor took a green apple to his home,The doctor took a green apple to his home,The doctor took a green apple to his home
7,Speech,18,"boy.png,boat.png,cat.png",The boy loves playing with his cat and his boat,The boy loves playing with his cat and his boat,The boy loves playing with his cat and his boat,The boy loves playing with his cat and his boat
7,Speech,19,"swings.png,crying.png,raincloud.png",The boys started crying when he was swinging and it started raining,"The boys started crying when he was swinging, and it started raining",The boys started crying when he was swinging and it started raining,"The boy started crying when he was swinging, and it started raining"
7,Speech,20,"cooking.png,house.png,soccer.png",She likes to cook stay in the house and play football,She likes to cook stay in the house and play football,She likes to cook stay in the house and play football,"She likes to cook, stay in the house, and play football"
8,Speech,1,"baby.png,iPhone4.png,man.png",The man gave his phone to a baby,The man gave his phone to a baby,The man gave his phone to a baby,The man gave his phone to a baby
8,Speech,2,"house.png,Friends.png,mug.png",The three friends meet up for coffee at their house,The three friends meet up for coffee at their house,The three friends meet up for coffee at their house,The three friends meet up for coffee at their house
8,Speech,3,"soccer.png,youngman.png,heart.png",The man loves soccer,The man loves soccer,The man loves soccer,The man loves soccer
8,Speech,4,"crying.png,pup.png,confused.png",The mom questioned why her son was afraid of dogs,The mom questioned why her son was afraid of dogs,The mom questioned why her son was afraid of dogs,The mom questioned why her son was afraid of dogs
8,Speech,5,"brocoli.png,hotdog.png,woman.png",The lady suggested you should eat broccoli and not hot dogs,The lady suggested you should eat broccoli and not hot dogs,The lady suggested you should eat broccoli and not hot dogs,The lady suggested you should eat broccoli and not hot dogs
8,Speech,6,"doctor.png,plane.png,boy.png",The doctor said the baby is safe to go on an airplane,The doctor said the baby is safe to go on an airplane,The doctor said the baby is safe to go on an airplane,The doctor said the baby is safe to go on an airplane
8,Speech,7,"apple.png,doctor.png,house.png",The doctor ate an apple while at home,The doctor ate an apple while at home,The doctor ate an apple while at home,The doctor ate an apple while at home
8,Speech,8,"cooking.png,house.png,soccer.png",The girl made soup at home for her soccer team,The girl made soup at home for her soccer team,The girl made soup at home for her soccer team,The girl made soup at home for her soccer team
8,Speech,9,"sun.png,house.png,baby.png",The baby crawled outside his house in the sun,The baby crawled outside his house in the sun,The baby crawled outside his house in the sun,The baby crawled outside his house in the sun
8,Speech,10,"teddybear.png,money.png,Friends.png",The three friends paid money to build a bear,The three friends paid money to build a bear,The three friends paid money to build a bear,The three friends paid money to build a bear
8,Speech,11,"woman.png,momandbaby.png,plane.png",The flight attendant helped the lady and her baby on to the plane,The flight attendant helped the lady and her baby on to the plane,The flight attendant helped the lady and her baby on to the plane,The flight attendant helped the lady and her baby on to the plane
8,Speech,12,"boy.png,Friends.png,present.png",The three friends gave a gift to a little boy,The three friends gave a gift to a little boy,The three friends gave a gift to a little boy,The three friends gave a gift to a little boy
8,Speech,13,"flower.png,bench.png,man.png",The man looked at the daisies while sitting on a park bench,The man looked at the daisies while sitting on a park bench,The man looked at the daisies while sitting on a park bench,The man looked at the daisies while sitting on a park bench
8,Speech,14,"swings.png,crying.png,raincloud.png",The boy cried because he was not allowed to swing in the rain,The boy cried because he was not allowed to swing in the rain,The boy cried because he was not allowed to swing in the rain,The boy cried because he was not allowed to swing in the rain
8,Speech,15,"bicycle.png,youngman.png,santa.png",The man asked for a bicycle from Santa Claus,The man asked for a bicycle from Santa Claus,The man asked for a bicycle from Santa Claus,The man asked for a bicycle from Santa Claus
8,Speech,16,"boy.png,boat.png,cat.png",The boys cat was afraid of going in a boat,The boy’s cat was afraid of going in a boat,The boy's cat was afraid of going in a boat,The boy’s cat was afraid of going in a boat
8,Speech,17,"turtle.png,cooking-pan.png,youngman.png",The man cooked food on a frying pan for his turtle,The man cooked food on a frying pan for his turtle,The man cooked food on a frying pan for his turtle,The man cooked food on a frying pan for his turtle
8,Speech,18,"grandma.png,heart.png,teddybear.png",The old lady loves her teddy bear,The old lady loves her teddy bear,The old lady loves her teddy bear,The old lady loves her teddy bear
8,Speech,19,"crying.png,youngman.png,santa.png",The child cried because a man told him Santa wasn't real,The child cried because a man told him Santa wasn't real,The child cried because a man told him Santa wasn't real,The child cried because a man told him Santa wasn't real
8,Speech,20,"swings.png,money.png,momandbaby.png",A mom paid money for a swing set for her son,A mom paid money for a swing set for her son,A mom paid money for a swing set for her son,A mom paid money for a swing set for her son
8,Keyboard,1,"swings.png,crying.png,raincloud.png",The boy was upset because it started raining and he could not swing anymore,The boy was upset because it started raining and he could not swing anymore,The boy was upset because it started raining and he could not swing anymore,The boy was upset because it started raining and he could not swing anymore
8,Keyboard,2,"brocoli.png,hotdog.png,woman.png",The lady ate a hot dog instead of nasty broccoli,The lady ate a hot dog instead of nasty broccoli,The lady ate a hot dog instead of nasty broccoli,The lady ate a hot dog instead of nasty broccoli
8,Keyboard,3,"house.png,Friends.png,mug.png",The three friends went to the girl's house for coffee,The three friends went to the girl's house for coffee,The three friends went to the girl's house for coffee,The three friends went to the girl's house for coffee
8,Keyboard,4,"crying.png,pup.png,confused.png",The mother was unsure why the dog bit her crying son,The mother was unsure why the dog bit her crying son,The mother was unsure why the dog bit her crying son,The mother was unsure why the dog bit her crying son
8,Keyboard,5,"cooking.png,house.png,soccer.png",The girl made soup at her home while her kids played soccer,The girl made soup at her home while her kids played soccer,The girl made soup at her home while her kids played soccer,The girl made soup at her home while her kids played soccer
8,Keyboard,6,"bicycle.png,youngman.png,santa.png",The boy asked santa Claus for a bicycle for Christmas ,The boy asked Santa Claus for a bicycle for Christmas ,The boy asked Santa Claus for a bicycle for Christmas ,The boy asked Santa Claus for a bicycle for Christmas 
8,Keyboard,7,"turtle.png,cooking-pan.png,youngman.png",The boy made fried turtle for dinnee,The boy made fried turtle for dinner,The boy made fried turtle for dinner,The boy made fried turtle for dinner
8,Keyboard,8,"flower.png,bench.png,man.png",The man sat on a bench admiring the flowers,The man sat on a bench admiring the flowers,The man sat on a bench admiring the flowers,The man sat on a bench admiring the flowers
8,Keyboard,9,"sun.png,house.png,baby.png",The baby was happy to leave the house when the sun came out ,The baby was happy to leave the house when the sun came out ,The baby was happy to leave the house when the sun came out ,The baby was happy to leave the house when the sun came out 
8,Keyboard,10,"baby.png,iPhone4.png,man.png",The baby stole the phone from his dad,The baby stole the phone from his dad,The baby stole the phone from his dad,The baby stole the phone from his dad
8,Keyboard,11,"grandma.png,heart.png,teddybear.png",The grandma loves her stuffed bear,The grandma loves her stuffed bear,The grandma loves her stuffed bear,The grandma loves her stuffed bear
8,Keyboard,12,"crying.png,youngman.png,santa.png",The boy cried because his dad was Santa claus,The boy cried because his dad was Santa Claus,The boy cried because his dad was Santa Claus,The boy cried because his dad was Santa Claus
8,Keyboard,13,"soccer.png,youngman.png,heart.png",The man loves watching the soccer world cup,The man loves watching the soccer world cup,The man loves watching the soccer world cup,The man loves watching the soccer world cup
8,Keyboard,14,"boy.png,Friends.png,present.png",The three friends were given a gift by a young child,The three friends were given a gift by a young child,The three friends were given a gift by a young child,The three friends were given a gift by a young child
8,Keyboard,15,"teddybear.png,money.png,Friends.png",The three friends sold a vintage teddy bear for a lot of money,The three friends sold a vintage teddy bear for a lot of money,The three friends sold a vintage teddy bear for a lot of money,The three friends sold a vintage teddy bear for a lot of money
8,Keyboard,16,"apple.png,doctor.png,house.png",The doctor went home and ate an apple after work,The doctor went home and ate an apple after work,The doctor went home and ate an apple after work,The doctor went home and ate an apple after work
8,Keyboard,17,"boy.png,boat.png,cat.png",The boys toy sailboat was knocked over by the cat,The boys toy sailboat was knocked over by the cat,The boy's toy sailboat was knocked over by the cat,The boy's toy sailboat was knocked over by the cat
8,Keyboard,18,"woman.png,momandbaby.png,plane.png",The girl and her little brother said goodbye to their mom to go on an airplane and visit their dad,The girl and her little brother said goodbye to their mom to go on an airplane and visit their dad,The girl and her little brother said goodbye to their mom to go on an airplane and visit their dad,The girl and her little brother said goodbye to their mom to go on an airplane and visit their dad
8,Keyboard,19,"swings.png,money.png,momandbaby.png",The girl and her baby sold their old swing set for a lot of money,The girl and her baby sold their old swing set for a lot of money,The girl and her baby sold their old swing set for a lot of money,The girl and her baby sold their old swing set for a lot of money
8,Keyboard,20,"doctor.png,plane.png,boy.png",The doctor on the airplane gave the little boy a lollie pop,The doctor on the airplane gave the little boy a lolly pop,The doctor on the airplane gave the little boy a lolly pop,The doctor on the airplane gave the little boy a lollipop
9,Keyboard,1,"bicycle.png,youngman.png,santa.png",The man asked santa Claus for a cycle,The man asked Santa Claus for a cycle,The man asked Santa Claus for a cycle,
9,Keyboard,2,"baby.png,iPhone4.png,man.png",I wanted to take photos of my baby to show him when he's older ,I wanted to take photos of my baby to show him when he's older ,I wanted to take photos of my baby to show him when he's older ,
9,Keyboard,3,"teddybear.png,money.png,Friends.png",All the kids bought teddy bears with their money. ,All the kids bought teddy bears with their money. ,All the kids bought teddy bears with their money. ,
9,Keyboard,4,"soccer.png,youngman.png,heart.png",The boy loves football ,The boy loves football ,The boy loves football ,
9,Keyboard,5,"brocoli.png,hotdog.png,woman.png",The girl prefers hotdogs over brocolli ,The girl prefers hotdogs over broccoli ,The girl prefers hotdogs over broccoli ,
9,Keyboard,6,"swings.png,crying.png,raincloud.png",The boy cried when he couldn't play on the swings because of the rain ,The boy cried when he couldn't play on the swings because of the rain ,The boy cried when he couldn't play on the swings because of the rain ,
9,Keyboard,7,"crying.png,youngman.png,santa.png",The young man you see today used to cry when Santa Claus didn't bring him presents when he was younger ,The young man you see today used to cry when Santa Claus didn't bring him presents when he was younger ,The young man you see today used to cry when Santa Claus didn't bring him presents when he was younger ,
9,Keyboard,8,"sun.png,house.png,baby.png",The baby likes to play outside his home in the sun ,The baby likes to play outside his home in the sun ,The baby likes to play outside his home in the sun ,
9,Keyboard,9,"swings.png,money.png,momandbaby.png",The parents paid good money to have their kids play on the playground ,The parents paid good money to have their kids play on the playground ,The parents paid good money to have their kids play on the playground ,
9,Keyboard,10,"apple.png,doctor.png,house.png",The doctor recommended planting apple trees outside their homeb,The doctor recommended planting apple trees outside their home,The doctor recommended planting apple trees outside their home,
9,Keyboard,11,"crying.png,pup.png,confused.png",The boys mother nor his dog couldn't understand why he was crying ,The boy’s mother nor his dog couldn't understand why he was crying ,The boy's mother nor his dog couldn't understand why he was crying ,
9,Keyboard,12,"house.png,Friends.png,mug.png",The kids went home for a cup of milk after playing all day ,The kids went home for a cup of milk after playing all day ,The kids went home for a cup of milk after playing all day ,
9,Keyboard,13,"grandma.png,heart.png,teddybear.png",My granny loves teddies ,My granny loves teddies ,My granny loves teddies ,
9,Keyboard,14,"cooking.png,house.png,soccer.png","My daughter loves cooking, football, and playing around the house ","My daughter loves cooking, football, and playing around the house ","My daughter loves cooking, football, and playing around the house ",
9,Keyboard,15,"woman.png,momandbaby.png,plane.png",The flight attendant was friendly to the family ,The flight attendant was friendly to the family ,The flight attendant was friendly to the family ,
9,Keyboard,16,"boy.png,Friends.png,present.png",His older friends got him many presents ,His older friends got him many presents ,His older friends got him many presents ,
9,Keyboard,17,"doctor.png,plane.png,boy.png",The doctor has recommended the boy not fly just yet,The doctor has recommended the boy not fly just yet,The doctor has recommended the boy not fly just yet,
9,Keyboard,18,"turtle.png,cooking-pan.png,youngman.png",The turtle was too slow to escape the man chasing him with a frying pan ,The turtle was too slow to escape the man chasing him with a frying pan ,The turtle was too slow to escape the man chasing him with a frying pan ,
9,Keyboard,19,"flower.png,bench.png,man.png",The man likes sitting in the park,The man likes sitting in the park,The man likes sitting in the park,
9,Keyboard,20,"boy.png,boat.png,cat.png",Only cats and men are allowed on pirate ships ,Only cats and men are allowed on pirate ships ,Only cats and men are allowed on pirate ships ,
9,Speech,1,"turtle.png,cooking-pan.png,youngman.png",The turtle jumped out of the frying pan and into the man's lap,The turtle jumped out of the frying pan and into the man's lap,The turtle jumped out of the frying pan and into the man's lap,
9,Speech,2,"doctor.png,plane.png,boy.png",The man jumped out of the plane to save the little boy,The man jumped out of the plane to save the little boy,The man jumped out of the plane to save the little boy,
9,Speech,3,"flower.png,bench.png,man.png",The man sat on the bench and plucked  nearby flowers,The man sat on the bench and plucked nearby flowers,The man sat on the bench and plucked nearby flowers,
9,Speech,4,"grandma.png,heart.png,teddybear.png",The teddy bear loves his grandma,The teddy bear loves his grandma,The teddy bear loves his grandma,
9,Speech,5,"boy.png,Friends.png,present.png",The little boy and his friends went shopping and got themselves lots of presents,The little boy and his friends went shopping and got themselves lots of presents,The little boy and his friends went shopping and got themselves lots of presents,
9,Speech,6,"crying.png,pup.png,confused.png",The woman was wondering why the boy was crying and the dog was wondering the same thing,The woman was wondering why the boy was crying and the dog was wondering the same thing,The woman was wondering why the boy was crying and the dog was wondering the same thing,
9,Speech,7,"swings.png,money.png,momandbaby.png",It takes a lot of money to get clean playgrounds,It takes a lot of money to get clean playgrounds,It takes a lot of money to get clean playgrounds,
9,Speech,8,"swings.png,crying.png,raincloud.png",Rain rain go away come again another day,Rain rain go away come again another day,Rain rain go away come again another day,
9,Speech,9,"woman.png,momandbaby.png,plane.png",The woman dreamed of being an air hostess for a very big airline someday,The woman dreamed of being an air hostess for a very big airline someday,The woman dreamed of being an air hostess for a very big airline someday,
9,Speech,10,"boy.png,boat.png,cat.png",The boy took his cat onto the ship,The boy took his cat onto the ship,The boy took his cat onto the ship,
9,Speech,11,"bicycle.png,youngman.png,santa.png",The man cycled his way to the North Pole,The man cycled his way to the North Pole,The man cycled his way to the North Pole,
9,Speech,12,"apple.png,doctor.png,house.png",The doctor didn't eat apples while he was at his home,The doctor didn't eat apples while he was at his home,The doctor didn't eat apples while he was at his home,
9,Speech,13,"baby.png,iPhone4.png,man.png",The baby got so happy when his dad give him his phone,The baby got so happy when his dad gave him his phone,The baby got so happy when his dad gives him his phone,
9,Speech,14,"cooking.png,house.png,soccer.png",The lady liked  to go home after a good game of soccer and eat,The lady liked to go home after a good game of soccer and eat,The lady liked to go home after a good game of soccer and eat,
9,Speech,15,"soccer.png,youngman.png,heart.png",The man was torn between his love and his love for soccer,The man was torn between his love and his love for soccer,The man was torn between his love and his love for soccer,
9,Speech,16,"sun.png,house.png,baby.png",The sun laughed at the baby while the baby was laughing in the house,The sun laughed at the baby while the baby was laughing in the house,The sun laughed at the baby while the baby was laughing in the house,
9,Speech,17,"teddybear.png,money.png,Friends.png",DD teddy bears cost a lot of money and the kids saved up for them,DD teddy bears cost a lot of money and the kids saved up for them,The teddy bears cost a lot of money and the kids saved up for them,
9,Speech,18,"brocoli.png,hotdog.png,woman.png",Broccolis are much healthier for you than hot dogs that's what my teacher said,Broccolis are much healthier for you than hot dogs that's what my teacher said,Broccolis are much healthier for you than hot dogs; that's what my teacher said,
